"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
21,300520,0,0.579,115.977,51,21
32,433066,0,0.485,133.527,51,32
41,190285,0,0.542,172.23,113,41
30,257799,0,0.544,94.426,85,31
27,235426,0,0.683,82.515,85,31
36,242933,0,0.629,101.082,85,31
21,282406,1,0.432,92.359,19,21
59,191533,0,0.336,77.158,99,59
44,106333,0,0.751,81.96,29,44
30,235400,0,0.74,110.205,26,30
40,205006,0,0.367,79.808,107,40
13,90706,0,0.706,108.15,67,13
43,160546,0,0.345,82.465,35,43
7,342114,0,0.676,135.254,25,6.5
6,355353,0,0.663,135.319,25,6.5
37,246428,0,0.533,140.025,11,37
44,244285,0,0.493,140.041,11,44
0,183406,0,0.629,110.016,91,0
33,241777,0,0.749,134.976,26,33
16,299125,0,0.871,130.008,11,16
39,223810,0,0.664,104.007,90,39
67,153391,0,0.798,114.989,32,71
75,148229,1,0.699,144.105,32,71
67,158474,0,0.615,162.22,39,67
0,215355,0,0.523,140.357,35,0
24,191647,0,0.707,100.009,70,24
0,150333,0,0.552,84.26,21,1
2,176566,1,0.562,89.862,21,1
61,160177,0,0.667,104.987,90,61
0,234323,0,0.402,213.928,21,0
0,176609,1,0.674,122.975,21,0
0,176609,1,0.674,122.975,54,0
0,369611,0,0.738,120.017,31,0
0,148960,0,0.695,124.04,54,0
29,117118,0,0.42,109.976,39,28.5
28,207578,0,0.418,79.886,39,28.5
67,188306,0,0.31,144.775,26,67
20,266466,0,0.656,167.692,61,20
36,245066,1,0.741,100.019,61,36
32,233760,0,0.371,123.141,17,32
43,258680,0,0.411,104.018,75,43
48,146864,0,0.752,118.022,16,48
68,132793,0,0.841,118.018,4,22.6666666666667
0,174002,0,0.729,124.044,4,22.6666666666667
0,174002,0,0.729,124.044,4,22.6666666666667
19,303787,0,0.283,112.785,6,19
37,70000,0,0.78,75.011,15,37
48,195280,0,0.89,84.635,112,48
45,384186,0,0.464,147.817,78,45
0,180055,0,0.65,118.087,92,35.3333333333333
67,175493,0,0.632,119.136,92,35.3333333333333
39,192446,0,0.633,115.983,92,35.3333333333333
11,286730,0,0.2,119.92,55,11
52,217933,0,0.499,106.902,99,52
52,254026,0,0.592,114.72,1,56.5
61,214240,0,0.637,139.78,80,56.5
38,366760,0,0.434,103.038,97,38
66,176212,1,0.728,155.009,32,66
41,160698,0,0.368,70.275,27,41
18,196880,0,0.631,108.99,112,18
