"popularity","valence","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
74,0.764,180138,1,0.98,119.993,95,61.2222222222222
56,0.707,107111,1,0.814,135.037,95,61.2222222222222
61,0.727,123428,0,0.852,140.08,95,61
24,0.665,231400,0,0.42,178.017,73,19.6
24,0.665,231400,0,0.42,178.017,44,19.6
22,0.197,290560,0,0.589,99.974,59,19.6
24,0.424,208800,0,0.578,107.99,59,19.6
0,0.614,176440,0,0.468,170.091,73,19.6
0,0.614,176440,0,0.468,170.091,44,19.6
24,0.665,231400,0,0.42,178.017,59,19.6
22,0.536,212426,0,0.266,91.972,59,19.6
56,0.818,198600,0,0.585,160.079,59,19.6
0,0.614,176440,0,0.468,170.091,59,19.6
3,0.889,278133,0,0.361,130.693,48,1.5
0,0.831,279754,0,0.565,127.222,20,1.5
3,0.889,278133,0,0.361,130.693,72,1.5
0,0.831,279754,0,0.565,127.222,48,1.5
3,0.889,278133,0,0.361,130.693,20,1.5
0,0.831,279754,0,0.565,127.222,72,1.5
38,0.0493,366857,0,0.511,140.062,18,23.3333333333333
41,0.0346,227692,0,0.3,156.038,18,23.3333333333333
3,0.106,240000,0,0.526,120.041,18,23.3333333333333
15,0.124,345230,0,0.51,130.017,18,23.3333333333333
39,0.0364,296727,0,0.448,110.014,18,23.3333333333333
4,0.0346,227692,0,0.3,156.038,18,23.3333333333333
38,0.178,270400,0,0.401,149.968,18,38
0,0.287,210468,0,0.512,127.965,84,24
48,0.286,210468,0,0.496,127.961,84,24
0,0.287,210468,0,0.512,127.965,33,24
48,0.286,210468,0,0.496,127.961,33,24
59,0.25,192941,0,0.571,102.043,33,59
59,0.25,192941,0,0.571,102.043,84,59
52,0.52,156631,0,0.534,95.046,33,52
52,0.52,156631,0,0.534,95.046,84,52
63,0.582,197601,1,0.642,92.912,87,63
63,0.582,197601,1,0.642,92.912,86,63
65,0.232,202666,1,0.607,139.894,87,65
65,0.232,202666,1,0.607,139.894,86,65
45,0.318,208125,0,0.517,127.984,59,45
42,0.74,146173,0,0.545,122.648,35,42
25,0.467,212480,0,0.514,178.085,47,21.3333333333333
16,0.523,316580,0,0.473,177.986,47,21.3333333333333
23,0.467,212480,0,0.514,178.085,47,21.3333333333333
60,0.221,199906,0,0.622,120.075,27,60
25,0.463,267613,0,0.341,103.782,59,25
46,0.379,185813,0,0.448,128.736,34,50.7333333333333
46,0.379,185813,0,0.448,128.736,95,50.7333333333333
52,0.397,99733,1,0.732,157.905,95,50.7333333333333
52,0.613,243214,0,0.722,112.033,95,50.7333333333333
45,0.451,205240,1,0.568,159.988,95,50.7333333333333
52,0.613,243214,0,0.722,112.033,34,50.7333333333333
45,0.451,205240,1,0.568,159.988,34,50.7333333333333
55,0.752,145626,1,0.615,159.943,95,50.7333333333333
53,0.609,168653,1,0.529,93.943,95,50.7333333333333
55,0.752,145626,1,0.615,159.943,34,50.7333333333333
51,0.644,143320,1,0.785,118.091,95,50.7333333333333
51,0.644,143320,1,0.785,118.091,34,50.7333333333333
53,0.609,168653,1,0.529,93.943,34,50.7333333333333
52,0.397,99733,1,0.732,157.905,34,50.7333333333333
53,0.482,164533,1,0.56,76.053,34,50.7333333333333
69,0.412,149160,1,0.667,144.943,34,69
69,0.412,149160,1,0.667,144.943,95,69
31,0.352,170997,0,0.609,130.104,22,31
29,0.54,179879,0,0.631,137.785,22,29
0,0.439,171039,0,0.64,108.062,65,0
47,0.494,160661,0,0.795,121.049,34,47
47,0.148,260500,1,0.71,120.018,34,47
20,0.608,323506,0,0.657,159.894,28,17.8
17,0.83,439426,0,0.75,129.034,28,17.8
16,0.46,207800,0,0.493,88.89,28,17.8
16,0.26,325600,0,0.573,159.794,28,17.8
20,0.608,323506,0,0.657,159.894,112,17.8
54,0.417,365746,0,0.359,75.775,28,54
